epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.4956,1.53764,2.54256,3.52252,1.07587,0.06464,0.76109,0.1013,0.06412,0.06594,0.77645,0.12141,0.05515,0.93824,1.57011,3.31477,0.9117,8e-05,8e-05,8e-05
2,147.066,1.23443,1.72256,2.90955,0.94085,0.07174,0.84471,0.14833,0.08728,0.07478,0.88055,0.17209,0.08263,1.02063,1.44102,3.20173,0.90912,0.000176436,0.000176436,0.000176436
3,214.77,1.16786,1.52323,1.79102,0.89399,0.07957,0.93686,0.40165,0.17579,0.07928,0.93345,0.45069,0.19501,1.05877,1.42871,2.94526,0.89635,0.000268912,0.000268912,0.000268912
4,284.14,1.09144,1.44483,1.0699,0.90077,0.08,0.94198,0.76747,0.46407,0.08087,0.95222,0.78068,0.3893,1.03714,1.41739,2.63276,0.88672,0.000357428,0.000357428,0.000357428
5,349.914,1.05751,1.39041,0.96718,0.89414,0.94186,0.35938,0.82766,0.53627,0.92844,0.35426,0.77424,0.35968,1.06666,1.39432,2.38315,0.90016,0.000441984,0.000441984,0.000441984
6,418.633,1.00006,1.34382,0.87159,0.88001,0.94764,0.30882,0.83037,0.55607,0.94764,0.30882,0.79653,0.40093,0.97841,1.39386,2.2652,0.89639,0.00052258,0.00052258,0.00052258
7,491.458,0.9859,1.32837,0.85934,0.88299,0.9463,0.27065,0.83959,0.58018,0.94033,0.26894,0.82718,0.41257,0.98219,1.2901,2.16199,0.89775,0.000599216,0.000599216,0.000599216
8,563.143,0.99595,1.31145,0.87998,0.89755,0.94769,0.30917,0.8189,0.58276,0.94246,0.30747,0.815,0.4425,0.94016,1.26,2.14789,0.90039,0.000671892,0.000671892,0.000671892
9,637.773,0.95901,1.28312,0.83307,0.88584,0.75372,0.79352,0.76776,0.53604,0.77659,0.78498,0.78177,0.3871,0.97469,1.43907,2.24074,0.91725,0.000740608,0.000740608,0.000740608
10,711.144,0.96545,1.30048,0.81851,0.88705,0.92259,0.67118,0.81954,0.5894,0.90617,0.65924,0.81433,0.41001,0.96298,1.29942,2.15056,0.91724,0.000805364,0.000805364,0.000805364
11,776.758,0.92623,1.17081,0.78101,0.87623,0.94825,0.46901,0.87368,0.63424,0.95515,0.47242,0.87333,0.47537,0.93949,1.25707,1.9532,0.9045,0.00086616,0.00086616,0.00086616
12,846.58,0.93031,1.2803,0.75293,0.86673,0.94116,0.65508,0.89772,0.65088,0.94361,0.65679,0.88174,0.47385,0.92084,1.23699,1.7939,0.8972,0.000922996,0.000922996,0.000922996
13,912.228,0.96331,1.30879,0.81309,0.89024,0.94134,0.71202,0.90561,0.65557,0.93457,0.7069,0.87877,0.46177,0.92272,1.23623,1.72567,0.89833,0.000975872,0.000975872,0.000975872
14,982.101,0.96097,1.29575,0.75981,0.88022,0.91787,0.76282,0.88362,0.60568,0.91787,0.76282,0.87859,0.47132,1.00752,1.2713,1.65872,0.90776,0.00102479,0.00102479,0.00102479
15,1054.93,0.92663,1.26176,0.73693,0.8752,0.91372,0.84943,0.91951,0.66571,0.91372,0.84943,0.91316,0.48017,0.90078,1.19581,1.51719,0.88652,0.00106974,0.00106974,0.00106974
16,1123,0.91485,1.19497,0.74305,0.8802,0.88155,0.86007,0.911,0.65901,0.89379,0.87201,0.9136,0.49749,0.90182,1.19836,1.47468,0.88712,0.00111074,0.00111074,0.00111074
17,1182.35,0.93836,1.25779,0.72968,0.87893,0.87749,0.86786,0.91149,0.67931,0.87751,0.85578,0.89977,0.48982,0.89586,1.12168,1.39741,0.88248,0.00114778,0.00114778,0.00114778
18,1241.46,0.93618,1.24393,0.71463,0.8685,0.875,0.88398,0.90918,0.67755,0.87475,0.87031,0.90362,0.50126,0.89833,1.15536,1.34011,0.88116,0.00118085,0.00118085,0.00118085
19,1301.91,0.89915,1.22423,0.71327,0.87314,0.86545,0.9001,0.90481,0.66901,0.87319,0.90482,0.91325,0.53535,0.92346,1.10769,1.26521,0.87918,0.00120997,0.00120997,0.00120997
20,1362.77,0.90071,1.20409,0.70896,0.86318,0.86977,0.91176,0.93171,0.66209,0.85373,0.89642,0.90453,0.47469,0.90115,1.11724,1.06072,0.87701,0.00123512,0.00123512,0.00123512
21,1423.42,0.92493,1.15537,0.70715,0.86783,0.86664,0.92045,0.92883,0.6992,0.85581,0.90146,0.90923,0.5101,0.87497,1.10271,0.95285,0.87798,0.001208,0.001208,0.001208
22,1480.82,0.89897,1.16928,0.71125,0.86127,0.85992,0.93231,0.93334,0.69584,0.87131,0.92429,0.93394,0.56606,0.88744,1.06576,0.89759,0.88022,0.0011684,0.0011684,0.0011684
23,1539.24,0.90478,1.12578,0.7094,0.86446,0.85917,0.93701,0.94553,0.7026,0.88235,0.91638,0.94165,0.56022,0.8673,1.06666,0.87253,0.87555,0.0011288,0.0011288,0.0011288
24,1595.77,0.9048,1.15837,0.69031,0.86296,0.87287,0.93732,0.94991,0.71188,0.87343,0.90614,0.9279,0.50875,0.83064,1.13205,0.81885,0.87168,0.0010892,0.0010892,0.0010892
25,1651.36,0.91699,1.16283,0.6855,0.85841,0.87274,0.94798,0.95194,0.72059,0.87508,0.92047,0.9323,0.54852,0.81725,1.07734,0.79569,0.87422,0.0010496,0.0010496,0.0010496
26,1705.91,0.85677,1.14304,0.66727,0.85895,0.87361,0.94881,0.94983,0.70778,0.87978,0.93857,0.94189,0.55002,0.85068,1.08325,0.78632,0.87698,0.00101,0.00101,0.00101
